Symbol	chr	start	end	strand	Unique08	Unique01
chr20+	chr20	9017510	9017535	+	0.0	2.0
chr20+	chr20	9059350	9059375	+	5.0	0.0
chr20+	chr20	9298500	9298525	+	3.0	0.0
chr20+	chr20	9483500	9483525	+	0.0	2.0
chr20+	chr20	9725850	9725875	+	4.0	0.0
chr20+	chr20	10359300	10359325	+	1.0	0.0
chr20+	chr20	10401160	10401185	+	9.0	0.0
chr20+	chr20	10418980	10419005	+	8.0	0.0
chr20+	chr20	11000370	11000395	+	0.0	1.0
chr20+	chr20	12108260	12108285	+	0.0	1.0
chr20+	chr20	12287670	12287695	+	0.0	5.0
chr20+	chr20	12331510	12331535	+	1.0	0.0
chr20+	chr20	12587850	12587875	+	0.0	1.0
chr20+	chr20	12866590	12866615	+	0.0	1.0
chr20+	chr20	12998880	12998905	+	1.0	0.0
chr20+	chr20	13043950	13043975	+	2.0	0.0
chr20+	chr20	13066770	13066795	+	0.0	2.0
chr20+	chr20	13333310	13333335	+	0.0	1.0
chr20+	chr20	13384500	13384525	+	1.0	0.0
chr20+	chr20	13401430	13401455	+	3.0	0.0
chr20+	chr20	13889280	13889305	+	0.0	6.0
chr20+	chr20	13943280	13943305	+	11.0	0.0
chr20+	chr20	14196020	14196045	+	1.0	0.0
chr20+	chr20	14239770	14239795	+	1.0	0.0
chr20+	chr20	14313740	14313765	+	5.0	0.0
chr20+	chr20	15278510	15278535	+	0.0	8.0
chr20+	chr20	15652470	15652495	+	3.0	0.0
chr20+	chr20	15733950	15733975	+	0.0	5.0
chr20+	chr20	15810200	15810225	+	3.0	0.0
chr20+	chr20	16013930	16013955	+	0.0	7.0
chr20+	chr20	16062910	16062935	+	0.0	4.0
chr20+	chr20	16079400	16079425	+	3.0	0.0
chr20+	chr20	16110130	16110155	+	2.0	0.0
chr20+	chr20	16305610	16305635	+	1.0	0.0
chr20+	chr20	16822500	16822525	+	0.0	1.0
chr20+	chr20	17117330	17117355	+	7.0	0.0
chr20+	chr20	17314350	17314375	+	1.0	0.0
chr20+	chr20	17369830	17369855	+	0.0	1.0
chr20+	chr20	17491340	17491365	+	1.0	1.0
chr20+	chr20	17776940	17776965	+	3.0	0.0
chr20+	chr20	17942850	17942875	+	0.0	1.0
chr20+	chr20	17966940	17966965	+	1.0	0.0
chr20+	chr20	18026820	18026845	+	7.0	0.0
chr20+	chr20	18673300	18673325	+	0.0	2.0
chr20+	chr20	18899180	18899205	+	0.0	3.0
chr20+	chr20	19038100	19038125	+	0.0	1.0
chr20+	chr20	19253430	19253455	+	3.0	0.0
chr20+	chr20	19436880	19436905	+	1.0	0.0
chr20+	chr20	19699070	19699095	+	0.0	3.0
chr20+	chr20	19816220	19816245	+	1.0	0.0
chr20+	chr20	20446030	20446055	+	3.0	0.0
chr20+	chr20	20652710	20652735	+	0.0	4.0
chr20+	chr20	20837060	20837085	+	3.0	0.0
chr20+	chr20	21177390	21177415	+	1.0	0.0
chr20+	chr20	21619810	21619835	+	0.0	1.0
chr20+	chr20	22363770	22363795	+	0.0	1.0
chr20+	chr20	23152990	23153015	+	1.0	0.0
chr20+	chr20	23195790	23195815	+	0.0	1.0
chr20+	chr20	23422590	23422615	+	4.0	0.0
chr20+	chr20	23458970	23458995	+	1.0	0.0
chr20+	chr20	23482100	23482125	+	0.0	1.0
chr20+	chr20	23487410	23487435	+	2.0	0.0
chr20+	chr20	23549090	23549115	+	2.0	0.0
chr20+	chr20	24035790	24035815	+	3.0	0.0
chr20+	chr20	24225510	24225535	+	1.0	0.0
chr20+	chr20	24299440	24299465	+	1.0	0.0
chr20+	chr20	24328940	24328965	+	3.0	0.0
chr20+	chr20	24369310	24369335	+	0.0	4.0
chr20+	chr20	25136900	25136925	+	3.0	0.0
chr20+	chr20	25531460	25531485	+	0.0	1.0
chr20+	chr20	25573800	25573825	+	5.0	1.0
chr20+	chr20	25698030	25698055	+	0.0	1.0
chr20+	chr20	25995554	25995579	+	1.0	0.0
chr20+	chr20	26082150	26082175	+	0.0	1.0
chr20+	chr20	26264720	26264745	+	0.0	1.0
chr20+	chr20	26316060	26316085	+	0.0	1.0
chr20+	chr20	29437320	29437345	+	0.0	1.0
chr20+	chr20	29443790	29443815	+	1.0	0.0
chr20+	chr20	29521510	29521535	+	1.0	0.0
chr20+	chr20	29621070	29621095	+	1.0	0.0
chr20+	chr20	30297830	30297855	+	0.0	1.0
chr20+	chr20	30408680	30408705	+	0.0	8.0
chr20+	chr20	30947270	30947295	+	0.0	3.0
chr20+	chr20	31150440	31150465	+	1.0	0.0
chr20+	chr20	31302050	31302075	+	0.0	3.0
chr20+	chr20	31765660	31765685	+	8.0	0.0
chr20+	chr20	31898920	31898945	+	0.0	3.0
chr20+	chr20	32040150	32040175	+	1.0	0.0
chr20+	chr20	32093750	32093775	+	0.0	1.0
chr20+	chr20	32098130	32098155	+	0.0	1.0
chr20+	chr20	32211030	32211055	+	3.0	0.0
chr20+	chr20	32468230	32468255	+	0.0	1.0
chr20+	chr20	32640850	32640875	+	1.0	0.0
chr20+	chr20	32730320	32730345	+	0.0	1.0
chr20+	chr20	32815910	32815935	+	1.0	0.0
chr20+	chr20	32853100	32853125	+	0.0	3.0
chr20+	chr20	32960890	32960915	+	3.0	0.0
chr20+	chr20	32962770	32962795	+	1.0	0.0
chr20+	chr20	33129280	33129305	+	7.0	0.0
chr20+	chr20	33132130	33132155	+	4.0	0.0
chr20+	chr20	33202310	33202335	+	1.0	0.0
chr20+	chr20	34129910	34129935	+	2.0	0.0
chr20+	chr20	34170260	34170285	+	0.0	3.0
chr20+	chr20	34171910	34171935	+	2.0	1.0
chr20+	chr20	34201660	34201685	+	4.0	0.0
chr20+	chr20	34286300	34286325	+	3.0	0.0
chr20+	chr20	34323420	34323445	+	4.0	0.0
chr20+	chr20	34476980	34477005	+	0.0	1.0
chr20+	chr20	34553270	34553295	+	3.0	0.0
chr20+	chr20	34601750	34601775	+	0.0	6.0
chr20+	chr20	34602330	34602355	+	1.0	0.0
chr20+	chr20	34874690	34874715	+	1.0	0.0
chr20+	chr20	35364980	35365005	+	1.0	0.0
chr20+	chr20	35583260	35583285	+	1.0	0.0
chr20+	chr20	35814980	35815005	+	2.0	0.0
chr20+	chr20	36138230	36138255	+	0.0	1.0
chr20+	chr20	36945230	36945255	+	1.0	0.0
chr20+	chr20	37081080	37081105	+	1.0	0.0
chr20+	chr20	37389250	37389275	+	0.0	2.0
chr20+	chr20	37879900	37879925	+	3.0	0.0
chr20+	chr20	37928690	37928715	+	0.0	7.0
chr20+	chr20	38475290	38475315	+	1.0	0.0
chr20+	chr20	38551370	38551395	+	0.0	1.0
chr20+	chr20	38706220	38706245	+	7.0	0.0
chr20+	chr20	38803090	38803115	+	2.0	0.0
chr20+	chr20	38883540	38883565	+	1.0	0.0
chr20+	chr20	39428950	39428975	+	1.0	0.0
chr20+	chr20	39789360	39789385	+	1.0	0.0
chr20+	chr20	39825500	39825525	+	0.0	2.0
chr20+	chr20	40246850	40246875	+	1.0	0.0
chr20+	chr20	40272830	40272855	+	0.0	7.0
chr20+	chr20	40276680	40276705	+	3.0	0.0
chr20+	chr20	40690920	40690945	+	9.0	0.0
chr20+	chr20	40972650	40972675	+	1.0	0.0
chr20+	chr20	41029640	41029665	+	6.0	1.0
chr20+	chr20	41429920	41429945	+	2.0	0.0
chr20+	chr20	41608680	41608705	+	3.0	0.0
chr20+	chr20	41656700	41656725	+	1.0	0.0
chr20+	chr20	41893050	41893075	+	0.0	8.0
chr20+	chr20	41962220	41962245	+	0.0	5.0
chr20+	chr20	42073920	42073945	+	0.0	1.0
chr20+	chr20	42120080	42120105	+	1.0	0.0
chr20+	chr20	42712390	42712415	+	1.0	0.0
chr20+	chr20	42728180	42728205	+	2.0	0.0
chr20+	chr20	42742370	42742395	+	0.0	3.0
chr20+	chr20	42760330	42760355	+	2.0	0.0
chr20+	chr20	43067580	43067605	+	2.0	0.0
chr20+	chr20	43252900	43252925	+	6.0	0.0
chr20+	chr20	43829440	43829465	+	1.0	0.0
chr20+	chr20	43870570	43870595	+	0.0	7.0
chr20+	chr20	44079360	44079385	+	0.0	5.0
chr20+	chr20	44110330	44110355	+	0.0	1.0
chr20+	chr20	44180010	44180035	+	0.0	1.0
chr20+	chr20	44279840	44279865	+	0.0	2.0
chr20+	chr20	44288110	44288135	+	1.0	0.0
chr20+	chr20	44346840	44346865	+	0.0	2.0
chr20+	chr20	44525200	44525225	+	0.0	1.0
chr20+	chr20	44719660	44719685	+	0.0	1.0
chr20+	chr20	45369220	45369245	+	1.0	0.0
chr20+	chr20	45918230	45918255	+	0.0	4.0
chr20+	chr20	45992840	45992865	+	3.0	1.0
chr20+	chr20	46051240	46051265	+	1.0	0.0
chr20+	chr20	46219770	46219795	+	0.0	1.0
chr20+	chr20	46282130	46282155	+	0.0	7.0
chr20+	chr20	46284420	46284445	+	1.0	0.0
chr20+	chr20	46792680	46792705	+	0.0	3.0
chr20+	chr20	47220570	47220595	+	1.0	0.0
chr20+	chr20	47298380	47298405	+	1.0	0.0
chr20+	chr20	47477500	47477525	+	1.0	0.0
chr20+	chr20	47567720	47567745	+	3.0	1.0
chr20+	chr20	47941340	47941365	+	3.0	0.0
chr20+	chr20	48305570	48305595	+	7.0	0.0
chr20+	chr20	48482000	48482025	+	1.0	1.0
chr20+	chr20	48654320	48654345	+	1.0	0.0
chr20+	chr20	48682540	48682565	+	0.0	1.0
chr20+	chr20	48814960	48814985	+	1.0	0.0
chr20+	chr20	48971820	48971845	+	2.0	0.0
chr20+	chr20	49017890	49017915	+	3.0	0.0
chr20+	chr20	49048530	49048555	+	0.0	1.0
chr20+	chr20	49058030	49058055	+	1.0	0.0
chr20+	chr20	49221990	49222015	+	0.0	1.0
chr20+	chr20	49420530	49420555	+	9.0	1.0
chr20+	chr20	49629390	49629415	+	3.0	0.0
chr20+	chr20	49928230	49928255	+	1.0	0.0
chr20+	chr20	50091620	50091645	+	0.0	1.0
chr20+	chr20	50101520	50101545	+	1.0	0.0
chr20+	chr20	50279690	50279715	+	1.0	0.0
chr20+	chr20	50324190	50324215	+	1.0	0.0
chr20+	chr20	50336020	50336045	+	3.0	0.0
chr20+	chr20	50555970	50555995	+	6.0	0.0
chr20+	chr20	50590140	50590165	+	0.0	1.0
chr20+	chr20	50615700	50615725	+	2.0	0.0
chr20+	chr20	50881230	50881255	+	1.0	0.0
chr20+	chr20	50982650	50982675	+	1.0	0.0
chr20+	chr20	51425510	51425535	+	0.0	3.0
chr20+	chr20	51427600	51427625	+	0.0	4.0
chr20+	chr20	51633610	51633635	+	1.0	0.0
chr20+	chr20	51711890	51711915	+	2.0	0.0
chr20+	chr20	51871170	51871195	+	2.0	0.0
chr20+	chr20	52261390	52261415	+	1.0	0.0
chr20+	chr20	52329140	52329165	+	2.0	0.0
chr20+	chr20	52537710	52537735	+	1.0	0.0
chr20+	chr20	52538710	52538735	+	0.0	3.0
chr20+	chr20	52584500	52584525	+	2.0	0.0
chr20+	chr20	53731710	53731735	+	0.0	2.0
chr20+	chr20	53955800	53955825	+	0.0	3.0
chr20+	chr20	54030620	54030645	+	0.0	2.0
chr20+	chr20	54403840	54403865	+	1.0	0.0
chr20+	chr20	55125860	55125885	+	0.0	3.0
chr20+	chr20	55144790	55144815	+	2.0	0.0
chr20+	chr20	55678900	55678925	+	1.0	0.0
chr20+	chr20	55727640	55727665	+	1.0	0.0
chr20+	chr20	55841830	55841855	+	5.0	0.0
chr20+	chr20	56134500	56134525	+	2.0	0.0
chr20+	chr20	56460030	56460055	+	6.0	0.0
chr20+	chr20	56653130	56653155	+	0.0	1.0
chr20+	chr20	56705350	56705375	+	6.0	0.0
chr20+	chr20	56722260	56722285	+	1.0	0.0
chr20+	chr20	56833650	56833675	+	1.0	0.0
chr20+	chr20	56859300	56859325	+	0.0	1.0
chr20+	chr20	56862970	56862995	+	1.0	0.0
chr20+	chr20	56909710	56909735	+	0.0	2.0
chr20+	chr20	57869600	57869625	+	2.0	0.0
chr20+	chr20	58249680	58249705	+	1.0	0.0
chr20+	chr20	58700330	58700355	+	9.0	0.0
chr20+	chr20	58853690	58853715	+	3.0	0.0
chr20+	chr20	59077750	59077775	+	1.0	0.0
chr20+	chr20	59231740	59231765	+	8.0	0.0
chr20+	chr20	59566000	59566025	+	2.0	0.0
chr20+	chr20	60195240	60195265	+	1.0	0.0
chr20+	chr20	60229140	60229165	+	1.0	0.0
chr20+	chr20	60250290	60250315	+	2.0	0.0
chr20+	chr20	60303080	60303105	+	0.0	1.0
chr20+	chr20	60750600	60750625	+	0.0	2.0
chr20+	chr20	60943230	60943255	+	4.0	1.0
chr20+	chr20	61663250	61663275	+	6.0	0.0
chr20+	chr20	61780070	61780095	+	0.0	6.0
chr20+	chr20	61803430	61803455	+	3.0	0.0
chr20+	chr20	62105620	62105645	+	4.0	0.0
chr20+	chr20	62146290	62146315	+	0.0	1.0
chr20+	chr20	62266790	62266815	+	3.0	0.0
chr20+	chr20	62334810	62334835	+	1.0	0.0
chr20+	chr20	62449590	62449615	+	3.0	0.0
chr20+	chr20	62893810	62893835	+	5.0	0.0
chr20+	chr20	62959950	62959975	+	3.0	0.0
chr21+	chr21	9541990	9542015	+	1.0	0.0
chr21+	chr21	9649470	9649495	+	0.0	1.0
chr21+	chr21	9662590	9662615	+	0.0	1.0
chr21+	chr21	9698590	9698615	+	1.0	0.0
chr21+	chr21	9718600	9718625	+	1.0	0.0
chr21+	chr21	9720870	9720895	+	2.0	0.0
chr21+	chr21	9826970	9826995	+	0.0	2.0
chr21+	chr21	9851820	9851845	+	1.0	0.0
chr21+	chr21	9862650	9862675	+	7.0	0.0
chr21+	chr21	9888160	9888185	+	0.0	1.0
chr21+	chr21	9915040	9915065	+	1.0	0.0
chr21+	chr21	9960280	9960305	+	0.0	1.0
chr21+	chr21	9968660	9968685	+	1.0	0.0
chr21+	chr21	9973600	9973625	+	1.0	0.0
chr21+	chr21	10003920	10003945	+	2.0	0.0
chr21+	chr21	10101920	10101945	+	0.0	2.0
chr21+	chr21	10132720	10132745	+	0.0	3.0
chr21+	chr21	10716030	10716055	+	1.0	0.0
chr21+	chr21	10729190	10729215	+	1.0	0.0
chr21+	chr21	10734630	10734655	+	2.0	0.0
chr21+	chr21	10763160	10763185	+	1.0	0.0
chr21+	chr21	10777770	10777795	+	0.0	1.0
chr21+	chr21	10827120	10827145	+	0.0	2.0
chr21+	chr21	10849390	10849415	+	1.0	0.0
chr21+	chr21	10856800	10856825	+	1.0	0.0
chr21+	chr21	10876340	10876365	+	0.0	3.0
chr21+	chr21	10892230	10892255	+	2.0	0.0
chr21+	chr21	10901130	10901155	+	1.0	0.0
chr21+	chr21	14339230	14339255	+	0.0	1.0
chr21+	chr21	14365240	14365265	+	2.0	0.0
chr21+	chr21	14365640	14365665	+	1.0	0.0
chr21+	chr21	14522660	14522685	+	1.0	0.0
chr21+	chr21	14537290	14537315	+	1.0	0.0
chr21+	chr21	14822540	14822565	+	0.0	2.0
chr21+	chr21	15135830	15135855	+	0.0	2.0
chr21+	chr21	16405290	16405315	+	1.0	0.0
chr21+	chr21	16563280	16563305	+	0.0	5.0
chr21+	chr21	16630910	16630935	+	2.0	0.0
chr21+	chr21	16650220	16650245	+	2.0	0.0
chr21+	chr21	16969210	16969235	+	1.0	0.0
chr21+	chr21	17056650	17056675	+	12.0	0.0
chr21+	chr21	17691590	17691615	+	2.0	0.0
chr21+	chr21	17871890	17871915	+	0.0	2.0
chr21+	chr21	17901460	17901485	+	0.0	2.0
chr21+	chr21	18027790	18027815	+	2.0	0.0
chr21+	chr21	18069920	18069945	+	4.0	1.0
chr21+	chr21	18303390	18303415	+	0.0	1.0
chr21+	chr21	18628390	18628415	+	0.0	5.0
chr21+	chr21	18863690	18863715	+	0.0	1.0
chr21+	chr21	18895960	18895985	+	2.0	0.0
chr21+	chr21	18913280	18913305	+	0.0	2.0
chr21+	chr21	19009130	19009155	+	4.0	0.0
chr21+	chr21	19250220	19250245	+	0.0	4.0
chr21+	chr21	19574970	19574995	+	1.0	0.0
chr21+	chr21	19586230	19586255	+	0.0	1.0
chr21+	chr21	19702480	19702505	+	0.0	2.0
chr21+	chr21	20077100	20077125	+	1.0	0.0
chr21+	chr21	20482410	20482435	+	3.0	0.0
chr21+	chr21	20879250	20879275	+	2.0	0.0
chr21+	chr21	20930610	20930635	+	1.0	0.0
chr21+	chr21	21180840	21180865	+	0.0	9.0
chr21+	chr21	22126630	22126655	+	0.0	2.0
chr21+	chr21	22374860	22374885	+	2.0	0.0
chr21+	chr21	22880180	22880205	+	2.0	0.0
chr21+	chr21	23093860	23093885	+	1.0	0.0
chr21+	chr21	23102380	23102405	+	0.0	4.0
chr21+	chr21	23427980	23428005	+	0.0	1.0
chr21+	chr21	23948800	23948825	+	2.0	0.0
chr21+	chr21	24036970	24036995	+	1.0	0.0
chr21+	chr21	24081240	24081265	+	1.0	0.0
chr21+	chr21	24106650	24106675	+	1.0	0.0
chr21+	chr21	24651230	24651255	+	2.0	0.0
chr21+	chr21	24651900	24651925	+	2.0	0.0
chr21+	chr21	24655030	24655055	+	0.0	5.0
chr21+	chr21	24851890	24851915	+	2.0	0.0
chr21+	chr21	25055010	25055035	+	0.0	1.0
chr21+	chr21	25273000	25273025	+	0.0	1.0
chr21+	chr21	25323480	25323505	+	0.0	2.0
chr21+	chr21	25970590	25970615	+	2.0	0.0
chr21+	chr21	26037470	26037495	+	8.0	0.0
chr21+	chr21	26043940	26043965	+	1.0	0.0
chr21+	chr21	26104470	26104495	+	0.0	1.0
chr21+	chr21	26264140	26264165	+	1.0	0.0
chr21+	chr21	26274590	26274615	+	0.0	1.0
chr21+	chr21	26833420	26833445	+	2.0	0.0
chr21+	chr21	26893430	26893455	+	4.0	0.0
chr21+	chr21	27082710	27082735	+	4.0	0.0
chr21+	chr21	27413230	27413255	+	1.0	0.0
chr21+	chr21	27514480	27514505	+	0.0	4.0
chr21+	chr21	27696880	27696905	+	0.0	3.0
chr21+	chr21	28762710	28762735	+	0.0	4.0
chr21+	chr21	29046000	29046025	+	0.0	3.0
chr21+	chr21	29078900	29078925	+	0.0	2.0
chr21+	chr21	29430230	29430255	+	2.0	0.0
chr21+	chr21	29721650	29721675	+	0.0	2.0
chr21+	chr21	30041630	30041655	+	1.0	0.0
chr21+	chr21	30397930	30397955	+	0.0	5.0
chr21+	chr21	30410070	30410095	+	0.0	1.0
chr21+	chr21	30521330	30521355	+	3.0	0.0
chr21+	chr21	30536340	30536365	+	0.0	3.0
chr21+	chr21	30617720	30617745	+	2.0	1.0
chr21+	chr21	30637780	30637805	+	0.0	1.0
chr21+	chr21	30854390	30854415	+	1.0	0.0
chr21+	chr21	31497120	31497145	+	0.0	1.0
chr21+	chr21	31732060	31732085	+	0.0	7.0
chr21+	chr21	31775280	31775305	+	1.0	0.0
chr21+	chr21	32688050	32688075	+	2.0	0.0
chr21+	chr21	32769440	32769465	+	1.0	0.0
chr21+	chr21	32900770	32900795	+	8.0	0.0
chr21+	chr21	32986480	32986505	+	2.0	0.0
chr21+	chr21	33041400	33041425	+	6.0	0.0
chr21+	chr21	33281200	33281225	+	2.0	0.0
chr21+	chr21	33629310	33629335	+	0.0	3.0
chr21+	chr21	33657150	33657175	+	1.0	0.0
chr21+	chr21	34431730	34431755	+	4.0	0.0
chr21+	chr21	34543910	34543935	+	0.0	5.0
chr21+	chr21	34765180	34765205	+	1.0	0.0
chr21+	chr21	35084430	35084455	+	4.0	1.0
chr21+	chr21	35288000	35288025	+	1.0	0.0
chr21+	chr21	35377430	35377455	+	4.0	0.0
chr21+	chr21	35434190	35434215	+	0.0	6.0
chr21+	chr21	35450750	35450775	+	3.0	0.0
chr21+	chr21	35489810	35489835	+	9.0	0.0
chr21+	chr21	35509060	35509085	+	0.0	7.0
chr21+	chr21	35715530	35715555	+	5.0	0.0
chr21+	chr21	35759530	35759555	+	2.0	0.0
chr21+	chr21	35886110	35886135	+	0.0	1.0
chr21+	chr21	35960100	35960125	+	1.0	0.0
chr21+	chr21	36053740	36053765	+	0.0	1.0
chr21+	chr21	36238720	36238745	+	1.0	0.0
chr21+	chr21	36282840	36282865	+	1.0	0.0
chr21+	chr21	36430280	36430305	+	5.0	0.0
chr21+	chr21	36533890	36533915	+	1.0	0.0
chr21+	chr21	36564000	36564025	+	0.0	5.0
chr21+	chr21	37063150	37063175	+	0.0	2.0
chr21+	chr21	37270010	37270035	+	0.0	1.0
chr21+	chr21	37402290	37402315	+	0.0	3.0
chr21+	chr21	37513440	37513465	+	0.0	1.0
chr21+	chr21	37531130	37531155	+	4.0	0.0
chr21+	chr21	38092230	38092255	+	0.0	2.0
chr21+	chr21	38361380	38361405	+	0.0	1.0
chr21+	chr21	38464440	38464465	+	5.0	0.0
chr21+	chr21	38475400	38475425	+	1.0	0.0
chr21+	chr21	38691710	38691735	+	0.0	2.0
chr21+	chr21	38742350	38742375	+	7.0	0.0
chr21+	chr21	38955930	38955955	+	1.0	0.0
chr21+	chr21	39075150	39075175	+	1.0	0.0
chr21+	chr21	39384420	39384445	+	1.0	0.0
chr21+	chr21	39390100	39390125	+	1.0	0.0
chr21+	chr21	39634910	39634935	+	4.0	0.0
chr21+	chr21	39890050	39890075	+	1.0	0.0
chr21+	chr21	39992920	39992945	+	7.0	0.0
chr21+	chr21	40287360	40287385	+	1.0	0.0
chr21+	chr21	40324270	40324295	+	4.0	0.0
chr21+	chr21	40476490	40476515	+	11.0	0.0
chr21+	chr21	40561960	40561985	+	8.0	0.0
chr21+	chr21	40749800	40749825	+	4.0	0.0
chr21+	chr21	40754030	40754055	+	1.0	0.0
chr21+	chr21	41254030	41254055	+	0.0	3.0
chr21+	chr21	41269100	41269125	+	1.0	0.0
chr21+	chr21	41323190	41323215	+	0.0	1.0
chr21+	chr21	42107380	42107405	+	0.0	2.0
chr21+	chr21	42473190	42473215	+	0.0	2.0
chr21+	chr21	42673830	42673855	+	5.0	0.0
chr21+	chr21	42848210	42848235	+	6.0	0.0
chr21+	chr21	42901790	42901815	+	0.0	1.0
chr21+	chr21	43054910	43054935	+	0.0	1.0
chr21+	chr21	43059900	43059925	+	0.0	1.0
chr21+	chr21	43111400	43111425	+	0.0	1.0
chr21+	chr21	43237030	43237055	+	2.0	0.0
chr21+	chr21	43772150	43772175	+	0.0	1.0
chr21+	chr21	43918920	43918945	+	5.0	0.0
chr21+	chr21	44042280	44042305	+	9.0	0.0
chr21+	chr21	44194750	44194775	+	1.0	0.0
chr21+	chr21	44321650	44321675	+	0.0	1.0
chr21+	chr21	44338530	44338555	+	2.0	0.0
chr21+	chr21	44385330	44385355	+	0.0	1.0
chr21+	chr21	44593080	44593105	+	6.0	0.0
chr21+	chr21	44821510	44821535	+	2.0	0.0
chr21+	chr21	45250440	45250465	+	0.0	5.0
chr21+	chr21	45571030	45571055	+	1.0	0.0
chr21+	chr21	46082510	46082535	+	0.0	3.0
chr21+	chr21	46278510	46278535	+	2.0	0.0
chr21+	chr21	46392470	46392495	+	2.0	0.0
chr21+	chr21	46475560	46475585	+	0.0	1.0
chr21+	chr21	46834500	46834525	+	1.0	0.0
chr21+	chr21	47098130	47098155	+	0.0	3.0
chr21+	chr21	47107610	47107635	+	0.0	3.0
chr21+	chr21	47204990	47205015	+	2.0	0.0
chr21+	chr21	47207400	47207425	+	1.0	0.0
chr21+	chr21	47258110	47258135	+	1.0	0.0
chr21+	chr21	47530470	47530495	+	5.0	0.0
chr21+	chr21	47775240	47775265	+	0.0	2.0
chr21+	chr21	47827470	47827495	+	0.0	1.0
chr21+	chr21	48119790	48119815	+	1.0	0.0
chr22+	chr22	16191780	16191805	+	0.0	1.0
chr22+	chr22	16195180	16195205	+	1.0	0.0
chr22+	chr22	16196720	16196745	+	8.0	1.0
chr22+	chr22	16239560	16239585	+	1.0	0.0
chr22+	chr22	16338010	16338035	+	0.0	1.0
chr22+	chr22	16355480	16355505	+	3.0	0.0
chr22+	chr22	16403710	16403735	+	1.0	0.0
chr22+	chr22	16670650	16670675	+	0.0	2.0
chr22+	chr22	16686890	16686915	+	2.0	0.0
chr22+	chr22	16865690	16865715	+	2.0	0.0
chr22+	chr22	16972010	16972035	+	0.0	1.0
chr22+	chr22	17006000	17006025	+	0.0	1.0
chr22+	chr22	17013330	17013355	+	0.0	1.0
chr22+	chr22	17111170	17111195	+	1.0	0.0
chr22+	chr22	17154770	17154795	+	3.0	0.0
chr22+	chr22	17182860	17182885	+	5.0	0.0
chr22+	chr22	17391660	17391685	+	0.0	1.0
chr22+	chr22	17480650	17480675	+	0.0	1.0
chr22+	chr22	17640190	17640215	+	1.0	0.0
chr22+	chr22	17654150	17654175	+	1.0	0.0
chr22+	chr22	17722497	17722522	+	2.0	0.0
chr22+	chr22	17771720	17771745	+	2.0	0.0
chr22+	chr22	18144500	18144525	+	0.0	3.0
chr22+	chr22	18265860	18265885	+	0.0	1.0
